optimizer,beta,grad_mode,feature_projection,lr_w,lr_v,momentum,readout_optimizer,muon_ns_steps,muon_nesterov,muon_update_scale,rmsprop_alpha,rmsprop_momentum,freon_c,trunc_frac,rand_spectrum_high,spectral_assume_rank_one,num_widths,num_runs,chi_width,loss_slope,loss_r2,delta_gap,gap_slope,gap_r2,tau_hww_trace,hww_trace_slope,hww_trace_r2,tau_haa_trace,haa_trace_slope,haa_trace_r2,widths,mean_losses,mean_bbp_steps
sgd,0.5,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,-0.059396180297104494,0.059396180297104494,0.08622398936382958,0.9346617095066457,-0.9346617095066457,0.9992920592991935,2.011772944708132,-2.011772944708132,0.999988929097773,2.0359109320940445,-2.0359109320940445,0.9999925430646309,64 128 256 512 1024,5.95777407e-02 4.23268788e-02 4.07963072e-02 4.85816598e-02 6.83213025e-02,0.00 0.00 0.00 0.00 0.00
trunc_sgd,0.5,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,-0.3012792088534011,0.3012792088534011,0.9644338418297056,1.212281406561482,-1.212281406561482,0.971771816625589,1.7609140985478866,-1.7609140985478866,0.996471549497002,2.115242875706727,-2.115242875706727,0.9997338318759498,64 128 256 512 1024,2.06939295e-01 2.42658839e-01 3.44722718e-01 4.08259124e-01 4.53255902e-01,0.00 0.00 0.00 0.00 0.00
adamw,0.8,minibatch,bap,0.02,0.02,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,0.5542874004605013,-0.5542874004605013,0.8675410039486741,1.256836648878265,-1.256836648878265,0.9836284588441433,2.252999798963344,-2.252999798963344,0.9950678731913069,1.956497226072275,-1.956497226072275,0.9807437749687367,64 128 256 512 1024,1.65353651e-01 1.44012166e-01 1.04823582e-01 8.37192287e-02 3.17625309e-02,0.00 0.00 0.00 0.00 0.00
freon,0.8,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.5050176696009308,-2.5050176696009308,0.9294527577018898,1.042641884779097,-1.042641884779097,0.9906817244471445,1.7519653576056324,-1.7519653576056324,0.9891468313937807,2.036211990417614,-2.036211990417614,0.9999692913643413,64 128 256 512 1024,2.65990372e-02 1.35869940e-02 4.56803789e-03 4.35041962e-04 2.52193995e-05,0.00 0.00 0.00 0.00 0.00
fro_norm,0.8,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.753326308257373,-2.753326308257373,0.907535990600909,0.9217084911621248,-0.9217084911621248,0.999580988147419,1.9959804230009863,-1.9959804230009863,0.9999909205729133,2.0356749155478995,-2.0356749155478995,0.9999714793946519,64 128 256 512 1024,2.81279416e-02 1.39370582e-02 4.58839489e-03 4.35811788e-04 1.14131359e-05,0.00 0.00 0.00 0.00 0.00
muon,0.8,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.843369557922307,-2.843369557922307,0.8754361444025832,0.7881522441045715,-0.7881522441045715,0.9929767159281181,1.9516664192972908,-1.9516664192972908,0.9999149956983542,2.038478236714185,-2.038478236714185,0.9999701895452654,64 128 256 512 1024,2.81186371e-02 1.39803930e-02 4.60262193e-03 6.14935338e-04 7.04111767e-06,0.00 0.00 0.00 0.00 0.00
polar,0.8,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.5338654409809083,-2.5338654409809083,0.9264177460817654,1.0486187007770018,-1.0486187007770018,0.9910794569312523,1.7542881693788483,-1.7542881693788483,0.9893827131092204,2.0362129194774052,-2.0362129194774052,0.9999692967083518,64 128 256 512 1024,2.65990372e-02 1.35798492e-02 4.56803789e-03 4.35123521e-04 2.28118021e-05,0.00 0.00 0.00 0.00 0.00
rand_spectrum,0.8,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.5772830042150803,-2.5772830042150803,0.9079997969212941,1.0673674582458574,-1.0673674582458574,0.994989094414311,1.8141281245762129,-1.8141281245762129,0.9926865394576773,2.036758749938159,-2.036758749938159,0.9999695819991181,64 128 256 512 1024,2.68655028e-02 1.37278344e-02 4.57663011e-03 5.72049292e-04 1.73812820e-05,0.00 0.00 0.00 0.00 0.00
rmsprop,0.8,minibatch,bap,0.02,0.01,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,0.4862451749554912,-0.4862451749554912,0.9255402513368659,1.4451724315692136,-1.4451724315692136,0.9835295001788995,2.4445743973614573,-2.4445743973614573,0.994214058618676,0.9117224876646192,-0.9117224876646192,0.773678471999371,64 128 256 512 1024,2.27456783e-01 1.59173364e-01 1.42774639e-01 1.03404800e-01 5.23229024e-02,0.00 0.00 0.00 0.00 0.00
sgd,0.8,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,0.006984070738052978,-0.006984070738052978,0.0007195758482337888,0.9407746203798307,-0.9407746203798307,0.9994312356356789,2.0077991942338116,-2.0077991942338116,0.99998824883122,2.030110379682201,-2.030110379682201,0.9999876441298579,64 128 256 512 1024,2.81595811e-02 1.76618323e-02 1.51183475e-02 1.76095658e-02 2.75269231e-02,0.00 0.00 0.00 0.00 0.00
